m,n,k,mk_input,mk_input_iterations,kn_input,kn_input_iterations,mn_output,mn_output_iterations,read,read_iterations,compute,compute_iterations,pipelined_read_compute,pipelined_read_compute_iterations,final_compute,final_compute_iterations,write,write_iterations,reduction,reduction_iterations,total
64,64,512,46,1,46,1,6,1,3220,63,26019,126,26019,63,413,1,378,63,0,0,26908
64,64,512,46,1,46,1,6,1,3220,63,26019,126,26019,63,413,1,378,63,0,0,26908
64,64,512,46,1,46,1,6,1,3220,63,17955,126,17955,63,285,1,378,63,0,0,18716
64,64,512,46,1,46,1,6,1,3220,63,42147,126,42147,63,669,1,378,63,0,0,43292
64,64,512,46,1,46,1,6,1,3220,63,17955,126,17955,63,285,1,378,63,0,0,18716
64,64,512,46,1,46,1,6,1,3220,63,13923,126,13923,63,221,1,378,63,0,0,14620
64,64,512,46,1,46,1,6,1,3220,63,21987,126,21987,63,349,1,378,63,0,0,22812
64,64,512,46,1,46,1,6,1,3220,63,21987,126,21987,63,349,1,378,63,0,0,22812
64,64,512,46,1,46,1,6,1,3220,63,13923,126,13923,63,221,1,378,63,0,0,14620
64,64,512,46,1,46,1,6,1,3220,63,38115,126,38115,63,605,1,378,63,0,0,39196
64,64,512,46,1,46,1,6,1,3220,63,13923,126,13923,63,221,1,378,63,0,0,14620
64,64,256,23,1,23,1,6,1,3650,127,74742,254,74742,127,586,1,762,127,5,1,76147
64,64,256,23,1,23,1,6,1,3650,127,42484,254,42484,127,332,1,762,127,5,1,43635
64,64,256,23,1,23,1,6,1,3650,127,42484,254,42484,127,332,1,762,127,5,1,43635
64,64,256,23,1,23,1,6,1,3650,127,38420,254,38420,127,300,1,762,127,5,1,39539
64,64,256,23,1,23,1,6,1,3650,127,50612,254,50612,127,396,1,762,127,5,1,51827
64,64,256,23,1,23,1,6,1,3650,127,74742,254,74742,127,586,1,762,127,5,1,76147
64,64,256,23,1,23,1,6,1,3650,127,42738,254,42738,127,334,1,762,127,5,1,43891
64,64,256,23,1,23,1,6,1,3650,127,26736,254,26736,127,208,1,762,127,5,1,27763
64,64,256,23,1,23,1,6,1,3650,127,26736,254,26736,127,208,1,762,127,5,1,27763
64,64,256,23,1,23,1,6,1,3650,127,22672,254,22672,127,176,1,762,127,5,1,23667
64,64,256,23,1,23,1,6,1,3650,127,34864,254,34864,127,272,1,762,127,5,1,35955
64,64,256,23,1,23,1,6,1,3650,127,42738,254,42738,127,334,1,762,127,5,1,43891
64,64,256,23,1,23,1,6,1,3650,127,26482,254,26482,127,206,1,762,127,5,1,27507
64,64,256,23,1,23,1,6,1,3650,127,18608,254,18608,127,144,1,762,127,5,1,19571
64,64,256,23,1,23,1,6,1,3650,127,18608,254,18608,127,144,1,762,127,5,1,19571
64,64,256,23,1,23,1,6,1,3650,127,14544,254,14544,127,112,1,762,127,5,1,15475
64,64,256,23,1,23,1,6,1,3650,127,26736,254,26736,127,208,1,762,127,5,1,27763
64,64,256,23,1,23,1,6,1,3650,127,26482,254,26482,127,206,1,762,127,5,1,27507
64,64,256,23,1,23,1,6,1,3650,127,18354,254,18354,127,142,1,762,127,5,1,19315
64,64,256,23,1,23,1,6,1,3650,127,14544,254,14544,127,112,1,762,127,5,1,15475
64,64,256,23,1,23,1,6,1,3650,127,14544,254,14544,127,112,1,762,127,5,1,15475
64,64,256,23,1,23,1,6,1,3650,127,10480,254,10480,127,80,1,762,127,5,1,11379
64,64,256,23,1,23,1,6,1,3650,127,22672,254,22672,127,176,1,762,127,5,1,23667
64,64,256,23,1,23,1,6,1,3650,127,18354,254,18354,127,142,1,762,127,5,1,19315
64,64,256,23,1,23,1,6,1,3650,127,14290,254,14290,127,110,1,762,127,5,1,15219
64,64,256,23,1,23,1,6,1,3650,127,12512,254,12512,127,96,1,762,127,5,1,13427
64,64,256,23,1,23,1,6,1,3650,127,12512,254,12512,127,96,1,762,127,5,1,13427
64,64,256,23,1,23,1,6,1,3650,127,8448,254,8448,127,64,1,762,127,5,1,9331
