m,n,k,mk_input,mk_input_iterations,kn_input,kn_input_iterations,mn_output,mn_output_iterations,read,read_iterations,compute,compute_iterations,pipelined_read_compute,pipelined_read_compute_iterations,final_compute,final_compute_iterations,write,write_iterations,reduction,reduction_iterations,total
64,64,2048,182,1,182,1,6,1,198229652,1048575,448462425,2097150,448462425,1048575,423,1,6291450,1048575,5,1,454754673
64,64,2048,182,1,182,1,6,1,198229652,1048575,316341975,2097150,316898452,1048575,297,1,6291450,1048575,5,1,323190574
64,64,2048,182,1,182,1,6,1,198229652,1048575,316341975,2097150,316898452,1048575,297,1,6291450,1048575,5,1,323190574
64,64,2048,182,1,182,1,6,1,198229652,1048575,282787575,2097150,283606164,1048575,265,1,6291450,1048575,5,1,289898254
64,64,2048,182,1,182,1,6,1,198229652,1048575,383450775,2097150,383483028,1048575,361,1,6291450,1048575,5,1,389775214
64,64,2048,182,1,182,1,6,1,198229652,1048575,448462425,2097150,448462425,1048575,423,1,6291450,1048575,5,1,454754673
64,64,2048,182,1,182,1,6,1,198229652,1048575,495648300,2097150,495648300,1048575,468,1,6291450,1048575,5,1,501940593
64,64,2048,182,1,182,1,6,1,198229652,1048575,365625000,2097150,365796500,1048575,344,1,6291450,1048575,5,1,372088669
64,64,2048,182,1,182,1,6,1,198229652,1048575,365625000,2097150,365796500,1048575,344,1,6291450,1048575,5,1,372088669
64,64,2048,182,1,182,1,6,1,198229652,1048575,298516200,2097150,299211924,1048575,280,1,6291450,1048575,5,1,305504029
64,64,2048,182,1,182,1,6,1,198229652,1048575,499842600,2097150,499842600,1048575,472,1,6291450,1048575,5,1,506134897
64,64,2048,182,1,182,1,6,1,198229652,1048575,495648300,2097150,495648300,1048575,468,1,6291450,1048575,5,1,501940593
64,64,2048,182,1,182,1,6,1,198229652,1048575,1220213625,2097150,1220213625,1048575,1159,1,6291450,1048575,5,1,1226506609
64,64,2048,182,1,182,1,6,1,198229652,1048575,1228602225,2097150,1228602225,1048575,1167,1,6291450,1048575,5,1,1234895217
